('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 10.970227003097534))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 149.47287917137146))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.17444992065429688))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.11367583274841309))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 161.01519083976746)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 36.51134014129639)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 5.738968133926392)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'Tree -> ZSB -> LASSO', 'MSE', ({'quality_metric': 615141937.2379626}, 0.47316932678222656))
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'ZS -> LC -> IQR -> LASSO', 'MSE', ({'quality_metric': 1800787195.9856076}, 0.26531100273132324))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'Tree -> ZSB -> OLS', 'MSE', ({'quality_metric': 4135129829.0395145}, 0.16297507286071777))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'LC -> LOF -> ED -> MARS', 'MSE', ({'quality_metric': 0.22341783427202447}, 5.3337929248809814))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.3967580795288086))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.03214597702026367))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 7.772538900375366))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 135.52159881591797))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.1300199031829834))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.0937647819519043))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 144.2088601589203)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 38.15821981430054)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 6.045202970504761)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'WR -> ED -> LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.483659029006958))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'DS -> Tree -> IQR -> ED -> OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.5584409236907959))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'ZS -> Tree -> ZSB -> ED -> MARS', 'MSE', ({'quality_metric': 0.1278545950741485}, 6.381038188934326))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.6795370578765869))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.0396881103515625))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 9.88694715499878))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 134.8775990009308))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.2100510597229004))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.11509108543395996))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 228.22774410247803)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 22.879629135131836)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 3.6267549991607666)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'DS -> LOF -> ED -> LASSO', 'MSE', ({'quality_metric': 1527572357.799871}, 0.48687195777893066))
